gene	GO_id	name	namespace
HTR1A	GO:0001662	behavioral fear response	biological_process
ADCYAP1	GO:0001662	behavioral fear response	biological_process
ALS2	GO:0001662	behavioral fear response	biological_process
ASIC1	GO:0001662	behavioral fear response	biological_process
ASIC4	GO:0001662	behavioral fear response	biological_process
BCL2	GO:0001662	behavioral fear response	biological_process
BRINP1	GO:0001662	behavioral fear response	biological_process
DEAF1	GO:0001662	behavioral fear response	biological_process
SPN	GO:0001662	behavioral fear response	biological_process
DPP4	GO:0001662	behavioral fear response	biological_process
DRD1	GO:0001662	behavioral fear response	biological_process
DRD4	GO:0001662	behavioral fear response	biological_process
EIF4E	GO:0001662	behavioral fear response	biological_process
EIF4G1	GO:0001662	behavioral fear response	biological_process
FBXL20	GO:0001662	behavioral fear response	biological_process
GABRA5	GO:0001662	behavioral fear response	biological_process
GRIK2	GO:0001662	behavioral fear response	biological_process
GRM7	GO:0001662	behavioral fear response	biological_process
HTR2C	GO:0001662	behavioral fear response	biological_process
KALRN	GO:0001662	behavioral fear response	biological_process
LYPD1	GO:0001662	behavioral fear response	biological_process
MAPK8IP2	GO:0001662	behavioral fear response	biological_process
MDK	GO:0001662	behavioral fear response	biological_process
MECP2	GO:0001662	behavioral fear response	biological_process
MORC1	GO:0001662	behavioral fear response	biological_process
NEUROD2	GO:0001662	behavioral fear response	biological_process
NPY2R	GO:0001662	behavioral fear response	biological_process
NR2E1	GO:0001662	behavioral fear response	biological_process
PENK	GO:0001662	behavioral fear response	biological_process
RPS6KB1	GO:0001662	behavioral fear response	biological_process
USP46	GO:0001662	behavioral fear response	biological_process
VDAC1	GO:0001662	behavioral fear response	biological_process
VDAC3	GO:0001662	behavioral fear response	biological_process
HTR1A	GO:0004930	G protein-coupled receptor activity	molecular_function
ACKR1	GO:0004930	G protein-coupled receptor activity	molecular_function
ACKR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR10	GO:0004930	G protein-coupled receptor activity	molecular_function
ACKR3	GO:0004930	G protein-coupled receptor activity	molecular_function
ACKR4	GO:0004930	G protein-coupled receptor activity	molecular_function
ADCYAP1R1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRA1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRA2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRA3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRB1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRB2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRB3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRD1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRD2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRE1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRE2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRE3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRE4P	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRE5	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRF1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRF2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRF3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRF4	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRF5	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG4	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG5	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG6	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRG7	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRL1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRL2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRL3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRL4	GO:0004930	G protein-coupled receptor activity	molecular_function
ADGRV1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADORA1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADORA2A	GO:0004930	G protein-coupled receptor activity	molecular_function
ADORA2B	GO:0004930	G protein-coupled receptor activity	molecular_function
ADORA3	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA1A	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA1B	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA1D	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA2A	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA2B	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRA2C	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRB1	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRB2	GO:0004930	G protein-coupled receptor activity	molecular_function
ADRB3	GO:0004930	G protein-coupled receptor activity	molecular_function
AGTR1	GO:0004930	G protein-coupled receptor activity	molecular_function
AGTR2	GO:0004930	G protein-coupled receptor activity	molecular_function
APLNR	GO:0004930	G protein-coupled receptor activity	molecular_function
AVPR1A	GO:0004930	G protein-coupled receptor activity	molecular_function
AVPR1B	GO:0004930	G protein-coupled receptor activity	molecular_function
AVPR2	GO:0004930	G protein-coupled receptor activity	molecular_function
BDKRB1	GO:0004930	G protein-coupled receptor activity	molecular_function
BDKRB2	GO:0004930	G protein-coupled receptor activity	molecular_function
BRS3	GO:0004930	G protein-coupled receptor activity	molecular_function
C3AR1	GO:0004930	G protein-coupled receptor activity	molecular_function
C5AR1	GO:0004930	G protein-coupled receptor activity	molecular_function
C5AR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CALCR	GO:0004930	G protein-coupled receptor activity	molecular_function
CALCRL	GO:0004930	G protein-coupled receptor activity	molecular_function
CASR	GO:0004930	G protein-coupled receptor activity	molecular_function
CCKAR	GO:0004930	G protein-coupled receptor activity	molecular_function
CCKBR	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR3	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR4	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR5	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR6	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR7	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR8	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR9	GO:0004930	G protein-coupled receptor activity	molecular_function
CCRL2	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR3	GO:0004930	G protein-coupled receptor activity	molecular_function
CHML	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM1	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM2	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM3	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM4	GO:0004930	G protein-coupled receptor activity	molecular_function
