gene	gene_id	pathway	C_name	B_name	A_name
HK3	3101	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
HK1	3098	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
HK2	3099	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
HKDC1	80201	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
GCK	2645	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
GPI	2821	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PFKM	5213	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PFKP	5214	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PFKL	5211	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
FBP1	2203	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
FBP2	8789	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ALDOC	230	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ALDOA	226	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ALDOB	229	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
TPI1	7167	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
GAPDH	2597	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
GAPDHS	26330	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PGK2	5232	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PGK1	5230	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PGAM1	5223	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PGAM2	5224	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PGAM4	441531	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ENO3	2027	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ENO2	2026	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ENO1	2023	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ENO4	387712	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PKM	5315	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PKLR	5313	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PDHA2	5161	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PDHA1	5160	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PDHB	5162	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
DLAT	1737	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
DLD	1738	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
PDHX	8050	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
LDHAL6A	160287	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
LDHAL6B	92483	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
LDHA	3939	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
LDHB	3945	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
LDHC	3948	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ADH1A	124	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ADH1B	125	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ADH1C	126	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
