	L1	L2	L3	M1	M2	M3	Q1	Q2	Q3	T1	T2	T3	X1	X2	X3
gene_0	33.92	45.94	17.05	15.06	7.09	15.45	27.31	29.99	11.73	56.21	60.57	65.81	15.8	13.21	10.08
gene_1	63.14	73.65	51.73	110.15	52.43	83.96	128.79	133.14	42.62	88.02	92.39	104.44	30.97	37.29	27.15
gene_2	50.06	49.54	47.48	47.54	85.19	30.38	149.01	153.18	17.03	63.04	65.2	64.59	17.95	19.8	9.99
gene_3	61.89	71.71	58.64	115.91	43.44	88.76	136.8	155.98	28.56	100.19	106.88	119.89	25.59	28.68	27.59
gene_4	60.42	63.65	52.77	73.14	83.04	67.61	86.63	82.37	40.4	110.53	115.13	117.23	27.11	26.08	19.92
gene_5	23.29	15.53	12.17	22.82	53.72	20.99	14.03	14.73	24.45	33.32	23.92	28.24	9.58	8.56	2.07
gene_6	29.53	40.93	22.72	24.14	34.81	15.7	101.58	111.77	8.99	55.02	53.1	59.7	11.59	9.93	9.63
gene_7	93.31	101.91	68.07	103.73	162.66	83.87	103.7	105.05	45.29	137.12	129.51	139.93	62.71	59.86	39.88
gene_8	105.64	84.33	102.91	119.05	101.45	101.83	112.07	112.68	84.27	221.72	240.37	233.34	52.8	56.2	43.55
gene_9	47.66	49.57	22.82	14.54	21.09	17.41	40.38	48.66	6.8	72.26	67.35	87.88	16.87	17.59	7.73
gene_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_11	80.4	70.06	90.44	118.72	244.74	105.58	112.98	98.94	80.47	163.93	175.08	155.16	42.2	49.92	33
gene_12	198.47	139.99	282.77	536.69	734.96	514.91	598.01	672.12	380.21	307.57	234.32	239.32	186.85	176.99	197.17
gene_13	40.5	38.88	40.23	51.37	53.24	40.82	70.43	78.46	15.38	58.69	56.92	62.71	18.24	18.39	20.39
gene_14	24.87	22.87	23.87	16.15	23.59	15.71	29.22	31.72	6.97	37.29	37.03	34.61	14.58	14.44	11.98
gene_15	19.74	20.63	17.51	43.36	98.8	34.95	39.96	34.35	23.07	45.94	41.01	38.14	13.77	17.68	10.99
gene_16	22.82	36.37	0	2.25	0	6.9	21.18	19.88	1.94	11.36	18.81	14.78	2.92	1.01	5.92
gene_17	31.94	30.2	27.82	58.89	38	54.48	53.14	51.63	24.61	47.42	49.14	49.48	13.7	14.38	11.93
gene_18	58.17	67.8	56.2	212.88	200.84	205.69	307.87	290.24	67.96	104.41	104.46	118.34	18.46	15.01	11.69
gene_19	17.37	22.55	8.61	13.21	3.42	20.69	20.43	21.41	8.25	29.45	30.25	35.13	8.77	6.62	9.47
gene_20	15.32	29.59	7.83	8.16	15.1	8.5	10.86	8.73	4.86	32.29	30.14	35.54	9.1	9.6	3.94
gene_21	22.83	27.34	15.76	17.43	23.02	17.88	19.72	16.4	8.53	38.59	38.6	41.52	10.82	10.57	7.66
gene_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_23	16.53	22.88	7.34	6.93	17.24	3.37	4.4	3.95	2.2	38.11	34.78	34.18	9.2	10.41	4.97
gene_24	42.63	44.66	29.96	43.38	126.68	36.22	71.64	64.31	39.58	68.18	74.72	74.72	29.96	32.15	21.48
gene_25	32.29	32.16	12.88	54.53	8.37	48.11	128.07	131.81	18.7	35.2	40.07	41.06	10.42	4.39	5.15
gene_26	14.84	18.1	5.94	3.46	4.97	4.65	3.8	3.24	2.2	26.06	30.97	31.4	6.87	6.56	2.82
gene_27	17.55	24.76	8.53	11.97	28.87	14.27	16.54	16.87	6.47	35.47	34.07	38.54	7.28	10.94	5.73
gene_28	187.78	142.78	258.34	377.2	952.96	303.13	644.35	606.32	344.02	196.3	203.43	185.1	173.36	198.71	179.33
gene_29	34.57	52.7	16.14	19.39	6.14	29.96	26.71	29.69	13.91	38.71	38.94	43.62	11.18	7.21	9.65
gene_30	54.79	48	53.48	122.6	273.91	89.17	99.29	84.57	49.58	68.31	69.99	71.78	21.91	22.09	18.86
gene_31	102.39	101.57	103.42	27.09	45.23	39.94	19.2	17.32	20.44	127.68	137.1	151.08	68.98	75.82	74.61
gene_32	48.85	57.24	50	60.49	149.32	55.34	47.35	44.19	46.43	53.64	54.2	55.66	23.7	22.3	14.49
gene_33	24.94	57.6	8.4	10.81	10.69	10.82	6.72	6.31	5.18	52.84	46.6	61.68	10.68	11.02	5.16
gene_34	116.5	104.38	123.85	123	109.24	138.72	87.12	100.7	152.74	139.89	130.14	119.72	88.77	66.17	87.72
gene_35	50.26	67.5	26.69	42.26	9.06	51.33	174.66	280.41	82.63	71.47	73.24	70.74	15.01	10.95	16.68
gene_36	30.65	34.56	26.3	39.88	74.13	32.58	41.85	36.47	14.56	55.63	52.22	52.54	17.26	15.75	12.56
gene_37	54.62	72.45	42.15	34.06	31.31	49.52	53.61	65.44	16.66	81.02	82.72	120.57	37.04	35.01	33.95
gene_38	84.47	101.69	79.36	81.14	217.75	77.8	108.84	100.77	41.91	89.87	90.99	97.47	32.98	31.02	25.11
gene_39	6.31	7.56	2.01	8.78	1.28	6.01	6.14	5.76	3.37	9.88	22.49	17.85	4.24	1.77	4.29
gene_40	269.24	185.22	389.85	2892.48	7892.86	2158.24	2412.07	2021.32	1167.12	1085.9	1131.97	1149.56	182.5	188.3	165.05
gene_41	46.06	52.62	50.01	103.9	98.59	86.97	210.01	216.37	61.27	84.18	81.68	86.82	27.25	27.86	27.17
gene_42	72.63	59.99	75.89	91.75	269.91	103.2	108.65	105.86	86.55	103.94	92.1	95.08	63.56	64.23	52.79
gene_43	28.52	36.96	30.93	24.67	37.18	28.19	95.59	85.33	9.92	47.49	50.84	44.75	10	12.46	5.67
gene_44	74.98	77.46	92.09	290.06	468.39	205.82	335.66	298.77	120.4	139.98	129.18	148.25	51.36	52.8	50.11
gene_45	52.08	41.96	54.31	114.28	207.56	96.75	263.79	271.36	45.41	87.3	78.93	84.74	24.6	22.68	22.82
gene_46	60.27	55.51	61.35	167.24	394.58	134.86	189.3	172.83	79.32	91.18	98.47	94.72	34.04	36.93	23.73
gene_47	48.29	53.32	54.16	231.06	730.43	222.65	163.01	125.83	119.62	95.26	84.59	88.22	22.34	21.79	17.4
gene_48	805.48	558.67	1034.67	1749.8	220.16	1521.92	1254.86	1296.55	1279.24	1293.09	1216.07	1351.07	641.1	620.76	580.5
gene_49	30.18	40.66	25.23	23.88	45.88	20.92	20.78	14.92	7.04	50.94	58.62	44.79	13.68	15.32	12.29
gene_50	63.39	125.61	5.14	1.24	8.18	0	2.61	20.86	4.3	87.17	100.57	114.05	20.59	3.39	4.38
gene_51	317.6	243.63	411.72	253.6	868.36	386.61	273.73	234	117.5	382.1	422.82	417.73	238.21	246.35	294.37
gene_52	38.59	36.04	44.1	73	30.13	78.13	113.81	174.69	59.42	87.38	65.6	77.15	12.71	17.98	13.75
gene_53	283.96	248.06	334.4	208.79	554.1	211.99	200.57	166.97	73.62	316.46	422.76	419.71	222.9	241.72	225.29
gene_54	51.62	139.73	32.27	40.15	97.23	34.25	59.64	46.76	14.85	66.74	78.72	94.33	39.47	43.04	16.51
