Lineage	PATH
Animals	ko00010
Animals	ko00020
Animals	ko00030
Animals	ko00040
Animals	ko00051
Animals	ko00052
Animals	ko00053
Animals	ko00061
Animals	ko00062
Animals	ko00071
Animals	ko00072
Animals	ko00100
Animals	ko00130
Animals	ko00190
Animals	ko00220
Animals	ko00230
Animals	ko00232
Animals	ko00240
Animals	ko00250
Animals	ko00260
Animals	ko00270
Animals	ko00280
Animals	ko00290
Animals	ko00310
Animals	ko00330
Animals	ko00340
Animals	ko00350
Animals	ko00360
Animals	ko00380
Animals	ko00400
Animals	ko00410
Animals	ko00430
Animals	ko00440
Animals	ko00450
Animals	ko00471
Animals	ko00480
Animals	ko00500
Animals	ko00510
Animals	ko00511
Animals	ko00512
Animals	ko00514
Animals	ko00515
Animals	ko00520
Animals	ko00531
Animals	ko00532
Animals	ko00533
Animals	ko00534
Animals	ko00561
Animals	ko00562
Animals	ko00563
Animals	ko00564
Animals	ko00565
Animals	ko00590
Animals	ko00592
Animals	ko00600
Animals	ko00601
Animals	ko00603
Animals	ko00604
Animals	ko00620
Animals	ko00630
Animals	ko00640
Animals	ko00650
Animals	ko00670
Animals	ko00730
Animals	ko00740
Animals	ko00750
Animals	ko00760
Animals	ko00770
Animals	ko00780
Animals	ko00785
Animals	ko00790
Animals	ko00830
Animals	ko00860
Animals	ko00900
Animals	ko00910
Animals	ko00920
Animals	ko00970
Animals	ko00980
Animals	ko00982
Animals	ko00983
Animals	ko01040
Animals	ko02010
Animals	ko03008
Animals	ko03010
Animals	ko03013
Animals	ko03015
Animals	ko03018
Animals	ko03020
Animals	ko03022
Animals	ko03030
Animals	ko03040
Animals	ko03050
Animals	ko03060
Animals	ko03410
Animals	ko03420
Animals	ko03430
Animals	ko03440
Animals	ko03450
Animals	ko03460
Animals	ko04068
Animals	ko04070
Animals	ko04080
Animals	ko04120
Animals	ko04122
Animals	ko04130
Animals	ko04136
Animals	ko04137
Animals	ko04140
Animals	ko04141
Animals	ko04142
Animals	ko04144
Animals	ko04145
Animals	ko04146
Animals	ko04150
Animals	ko04310
Animals	ko04330
Animals	ko04350
Animals	ko04512
Animals	ko04933
Animals	ko00300
Animals	ko00472
Animals	ko00981
Animals	ko00591
Animals	ko04013
Animals	ko04213
Animals	ko04214
Animals	ko04215
Animals	ko04320
Animals	ko04341
Animals	ko04391
Animals	ko04392
Animals	ko04624
Animals	ko04711
Animals	ko04745
Animals	ko00261
Animals	ko00660
Animals	ko00523
Animals	ko04010
Animals	ko04012
Animals	ko04020
Animals	ko04212
Animals	ko00120
Animals	ko00140
Animals	ko00524
Animals	ko03320
Animals	ko04060
Animals	ko04110
Animals	ko04114
Animals	ko04115
Animals	ko04210
Animals	ko04216
Animals	ko04217
Animals	ko04218
Animals	ko04260
Animals	ko04261
Animals	ko04270
Animals	ko04340
Animals	ko04370
Animals	ko04371
Animals	ko04510
Animals	ko04514
Animals	ko04520
Animals	ko04530
Animals	ko04540
Animals	ko04620
Animals	ko04621
Animals	ko04622
Animals	ko04623
Animals	ko04625
Animals	ko04672
Animals	ko04744
Animals	ko04810
Animals	ko04910
Animals	ko04912
Animals	ko04914
Animals	ko04916
Animals	ko04920
Animals	ko05132
Animals	ko05168
Animals	ko05164
Animals	ko00073
Animals	ko01502
Animals	ko01521
Animals	ko01522
Animals	ko01523
Animals	ko01524
Animals	ko04014
Animals	ko04015
Animals	ko04022
Animals	ko04024
Animals	ko04062
Animals	ko04064
Animals	ko04066
