Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T01001	hsa	Homo sapiens	9606	human	Eukaryotes; Animals; Vertebrates; Mammals
T01005	ptr	Pan troglodytes	9598	chimpanzee	Eukaryotes; Animals; Vertebrates; Mammals
T02283	pps	Pan paniscus	9597	bonobo	Eukaryotes; Animals; Vertebrates; Mammals
T02442	ggo	Gorilla gorilla gorilla		western lowland gorilla	Eukaryotes; Animals; Vertebrates; Mammals
T01416	pon	Pongo abelii	9601	Sumatran orangutan	Eukaryotes; Animals; Vertebrates; Mammals
T03265	nle	Nomascus leucogenys	61853	northern white-cheeked gibbon	Eukaryotes; Animals; Vertebrates; Mammals
T01028	mcc	Macaca mulatta	9544	rhesus monkey	Eukaryotes; Animals; Vertebrates; Mammals
T02918	mcf	Macaca fascicularis	9541	crab-eating macaque	Eukaryotes; Animals; Vertebrates; Mammals
T04361	csab	Chlorocebus sabaeus	60711	green monkey	Eukaryotes; Animals; Vertebrates; Mammals
T03989	rro	Rhinopithecus roxellana	61622	golden snub-nosed monkey	Eukaryotes; Animals; Vertebrates; Mammals
T04641	rbb	Rhinopithecus bieti	61621	black snub-nosed monkey	Eukaryotes; Animals; Vertebrates; Mammals
T03264	cjc	Callithrix jacchus	9483	white-tufted-ear marmoset	Eukaryotes; Animals; Vertebrates; Mammals
T04350	sbq	Saimiri boliviensis boliviensis		Bolivian squirrel monkey	Eukaryotes; Animals; Vertebrates; Mammals
T01002	mmu	Mus musculus	10090	mouse	Eukaryotes; Animals; Vertebrates; Mammals
T01003	rno	Rattus norvegicus	10116	rat	Eukaryotes; Animals; Vertebrates; Mammals
T02813	cge	Cricetulus griseus	10029	Chinese hamster	Eukaryotes; Animals; Vertebrates; Mammals
T03372	ngi	Nannospalax galili	1026970	Upper Galilee mountains blind mole rat	Eukaryotes; Animals; Vertebrates; Mammals
T02812	hgl	Heterocephalus glaber	10181	naked mole rat	Eukaryotes; Animals; Vertebrates; Mammals
T04791	ccan	Castor canadensis	51338	American beaver	Eukaryotes; Animals; Vertebrates; Mammals
T03373	ocu	Oryctolagus cuniculus	9986	rabbit	Eukaryotes; Animals; Vertebrates; Mammals
T02978	tup	Tupaia chinensis	246437	Chinese tree shrew	Eukaryotes; Animals; Vertebrates; Mammals
T01007	cfa	Canis familiaris		dog	Eukaryotes; Animals; Vertebrates; Mammals
T01329	aml	Ailuropoda melanoleuca	9646	giant panda	Eukaryotes; Animals; Vertebrates; Mammals
T03271	umr	Ursus maritimus	29073	polar bear	Eukaryotes; Animals; Vertebrates; Mammals
T05148	oro	Odobenus rosmarus divergens		Pacific walrus	Eukaryotes; Animals; Vertebrates; Mammals
T02385	fca	Felis catus	9685	domestic cat	Eukaryotes; Animals; Vertebrates; Mammals
T02988	ptg	Panthera tigris altaica		Amur tiger	Eukaryotes; Animals; Vertebrates; Mammals
