Homo sapiens	9606
Pan troglodytes	9598
Pan paniscus	9597
Gorilla gorilla	9593
Pongo abelii	9601
Nomascus leucogenys	61853
Macaca mulatta	9544
Macaca fascicularis	9541
Chlorocebus sabaeus	60711
Rhinopithecus roxellana	61622
Rhinopithecus bieti	61621
Callithrix jacchus	9483
Saimiri boliviensis	27679
Mus musculus	10090
Rattus norvegicus	10116
Cricetulus griseus	10029
Nannospalax galili	1026970
Heterocephalus glaber	10181
Castor canadensis	51338
Oryctolagus cuniculus	9986
Tupaia chinensis	246437
Canis lupus	9612
Ailuropoda melanoleuca	9646
Ursus maritimus	29073
Odobenus rosmarus	9707
Felis catus	9685
Panthera tigris	9694
Acinonyx jubatus	32536
Bos taurus	9913
Bos mutus	72004
Bos indicus	9915
Pantholops hodgsonii	59538
Capra hircus	9925
Ovis aries	9940
Sus scrofa	9823
Camelus ferus	419612
Camelus dromedarius	9838
Balaenoptera acutorostrata	9767
Lipotes vexillifer	118797
Orcinus orca	9733
Equus caballus	9796
Equus przewalskii	9798
Equus asinus	9793
Myotis brandtii	109478
Myotis davidii	225400
Hipposideros armiger	186990
Rhinolophus sinicus	89399
Pteropus alecto	9402
Loxodonta africana	9785
Trichechus manatus	9778
Monodelphis domestica	13616
Sarcophilus harrisii	9305
Ornithorhynchus anatinus	9258
Gallus gallus	9031
Meleagris gallopavo	9103
Coturnix japonica	93934
Anas platyrhynchos	8839
Anser cygnoides	8845
Taeniopygia guttata	59729
Geospiza fortis	48883
Ficedula albicollis	59894
Pseudopodoces humilis	181119
Parus major	9157
Corvus cornix	181096
Falco peregrinus	8954
Falco cherrug	345164
Columba livia	8932
Egretta garzetta	188379
Apteryx australis	8822
Alligator sinensis	38654
Alligator mississippiensis	8496
Pelodiscus sinensis	13735
Chelonia mydas	8469
Chrysemys picta	8479
Anolis carolinensis	28377
Pogona vitticeps	103695
Python bivittatus	176946
Gekko japonicus	146911
Xenopus laevis	8355
Xenopus (Silurana) tropicalis	8364
Nanorana parkeri	125878
Danio rerio	7955
Sinocyclocheilus rhinocerous	307959
Sinocyclocheilus anshuiensis	1608454
Sinocyclocheilus grahami	75366
Cyprinus carpio	7962
Ictalurus punctatus	7998
Astyanax mexicanus	7994
Takifugu rubripes	31033
Tetraodon nigroviridis	99883
Larimichthys crocea	215358
Notothenia coriiceps	8208
Maylandia zebra	106582
Oryzias latipes	8090
Xiphophorus maculatus	8083
Poecilia reticulata	8081
Nothobranchius furzeri	105023
Cynoglossus semilaevis	244447
Lates calcarifer	8187
Hippocampus comes	109280
Boleophthalmus pectinirostris	150288
Salmo salar	8030
Esox lucius	8010
Scleropages formosus	113540
Latimeria chalumnae	7897
Callorhinchus milii	7868
Branchiostoma floridae	7739
Ciona intestinalis	7719
Strongylocentrotus purpuratus	7668
Acanthaster planci	133434
Saccoglossus kowalevskii	10224
Drosophila melanogaster	7227
Drosophila pseudoobscura	7237
Drosophila ananassae	7217
Drosophila erecta	7220
Drosophila persimilis	7234
Drosophila sechellia	7238
Drosophila simulans	7240
Drosophila willistoni	7260
