gene	pathway
10000	hsa01521:K04456:[EC:2.7.11.1]
10000	hsa01522:K04456:[EC:2.7.11.1]
10000	hsa01524:K04456:[EC:2.7.11.1]
10000	hsa04010:K04456:[EC:2.7.11.1]
10000	hsa04012:K04456:[EC:2.7.11.1]
10000	hsa04014:K04456:[EC:2.7.11.1]
10000	hsa04015:K04456:[EC:2.7.11.1]
10000	hsa04022:K04456:[EC:2.7.11.1]
10000	hsa04024:K04456:[EC:2.7.11.1]
10000	hsa04062:K04456:[EC:2.7.11.1]
10000	hsa04066:K04456:[EC:2.7.11.1]
10000	hsa04068:K04456:[EC:2.7.11.1]
10000	hsa04071:K04456:[EC:2.7.11.1]
10000	hsa04072:K04456:[EC:2.7.11.1]
10000	hsa04140:K04456:[EC:2.7.11.1]
10000	hsa04150:K04456:[EC:2.7.11.1]
10000	hsa04151:K04456:[EC:2.7.11.1]
10000	hsa04152:K04456:[EC:2.7.11.1]
10000	hsa04210:K04456:[EC:2.7.11.1]
10000	hsa04211:K04456:[EC:2.7.11.1]
10000	hsa04213:K04456:[EC:2.7.11.1]
10000	hsa04218:K04456:[EC:2.7.11.1]
10000	hsa04261:K04456:[EC:2.7.11.1]
10000	hsa04370:K04456:[EC:2.7.11.1]
10000	hsa04371:K04456:[EC:2.7.11.1]
10000	hsa04380:K04456:[EC:2.7.11.1]
10000	hsa04510:K04456:[EC:2.7.11.1]
10000	hsa04550:K04456:[EC:2.7.11.1]
10000	hsa04611:K04456:[EC:2.7.11.1]
10000	hsa04620:K04456:[EC:2.7.11.1]
10000	hsa04625:K04456:[EC:2.7.11.1]
10000	hsa04630:K04456:[EC:2.7.11.1]
10000	hsa04660:K04456:[EC:2.7.11.1]
10000	hsa04662:K04456:[EC:2.7.11.1]
10000	hsa04664:K04456:[EC:2.7.11.1]
10000	hsa04666:K04456:[EC:2.7.11.1]
10000	hsa04668:K04456:[EC:2.7.11.1]
10000	hsa04722:K04456:[EC:2.7.11.1]
10000	hsa04725:K04456:[EC:2.7.11.1]
10000	hsa04728:K04456:[EC:2.7.11.1]
10000	hsa04910:K04456:[EC:2.7.11.1]
